線グラフの色をブランチドアーモンドに指定する	plt.plot(データ列x, データ列y, color='blanchedalmond')
データフレームをある列によってグループ化し、、グループ名を列挙する	[name for name, _ in df.groupby('列A')]
リストと配列について散布図をプロットしてマーカーを星に設定する	plt.plot(データ列x, データ列y, marker='*')
サーモン色として棒グラフを描画する	plt.bar(データ列x, データ列y, color='salmon')
ラベンダーブラッシュ色で棒グラフを描画する	plt.bar(データ列x, データ列y, color='lavenderblush')
データフレームのn行以降取り出す	df[n:]
数式を微分する	sympy.diff(e)
文字列でフォーマットして本日を文字列にする	"datetime.datetime.today().strftime(""%d/%m/%y"")"
プロットのパレットをパステル調にする	sns.set(pallete='pastel')
散布図をダークシアン色を用いて描画する	plt.scatter(データ列x, データ列y, color='darkcyan')
データシリーズを千の位で丸める	ds.round(-3)
ダークゴールデンロッド色の棒グラフを描画する	plt.bar(データ列x, データ列y, color='darkgoldenrod')
データフレームの中の列を等しい量になるようにビン数nとしてビニングする	pd.qcut(df[col], n)
縦棒グラフの色をライトスレイグレーにする	plt.bar(データ列x, データ列y, color='lightslategrey')
データフレームからランダムに100行を重複を認めてサンプリングする	df.sample(100, replace=True)
文字列を全て大文字に変換する	s.upper()
オリーブ色の散布図を描画する	plt.scatter(データ列x, データ列y, color='olive')
棒グラフの色をシアンにする	plt.bar(データ列x, データ列y, color='cyan')
折れ線グラフをコーラル色として描画する	plt.plot(データ列x, データ列y, color='coral')
大バツマーカーを用いて散布図をプロットする	plt.plot(データ列x, データ列y, marker='X')
リストをビン数nで分割する	pd.cut(aList, n)
日付時刻データををn日後に進める	aDatetime + datetime.timedelta(days=n)
ベクトルの行	aArray[行番号]
option: 印を▽に変更する	marker = 'v'
指定したカラムの分散	df['列A'].var()
明日の日付	datetime.date.today() + datetime.timedelta(days=1)
option: ミディアムオーキッドを用いる	color = 'mediumorchid'
option: ダークグレーにグラフの色を設定する	color = 'darkgray'
option: スレートブルーにグラフの色をセットする	color = 'slateblue'
ダークオリーブグリーン色のヒストグラムを描画する	plt.hist(データ列, color='darkolivegreen')
ダークグレー色の縦棒グラフを描画する	plt.bar(データ列x, データ列y, color='darkgray')
データフレームの選択した列の統計量	df[['列A', '列B']].describe()
折れ線グラフをミディアムシアグリーン色として描画する	plt.plot(データ列x, データ列y, color='mediumseagreen')
